row_id,column,backend_value,proposed_value,sources,recommendation,decision
282/283/284,Owner attribution (CNOOC direct vs MOL/CSLNG joint venture),,,,"Possible explanation (unconfirmed): the Jan-2022 sextet article states 'the deal also includes three options' - these three hulls, ordered ~8 months later, may be those options exercised directly by CNOOC rather than through the MOL/CSLNG vehicle used for the firm six. Flagging as worth a human look rather than proposing an unsourced Operator/charterer fill.",hold
308-313 (esp. 310),Owner mix within one QC-Max sub-batch,,,,"Consistent with (not contradicting) the source article, which explains QatarEnergy's QC-Max program spreads ownership across MOL/CSET (6 vessels), Nakilat (9 vessels charter), and a China Merchants/Shandong Marine/CLNG consortium (9 vessels) - so a Nakilat-flagged hull inside an otherwise-MOL cluster is plausible, not necessarily a data error. Noting for awareness since it looks like a mismatch at a glance.",hold
308-313,Contract-date source paywalled,,,,"Could not extract contract date or price from this specific article (used the class-wide $333m/vessel figure from a different, non-paywalled LNG Prime article instead - see fills). A human with an LNG Prime subscription could likely pull an exact contract date for this sub-batch from this URL.",hold
139/143/146/150/152/154,Capacity (pre-existing value vs source article),,,,"Capacity is not in this cluster's blank_fields so I am not proposing a change, but flagging the discrepancy (180,000 in backend/shipvault vs 174,000 stated by the source article for the exact same CMES/Samsung 6-ship allotment) for human review - one of the two figures is likely wrong, or these are a distinct larger-capacity variant within the same commercial deal.",hold
711/712,Capacity (pre-existing value vs source article),,,,"Same pattern as the Samsung/CMES finding above - not proposing a change since Capacity isn't blank on these rows, but the 170,000 vs 175,000 gap is worth a human check.",hold
258,Propulsion type,,,,pre-merge sanity drop: cell not blank (backend 'X-DF'),hold
259,Propulsion type,,,,pre-merge sanity drop: cell not blank (backend 'X-DF'),hold
260,Propulsion type,,,,pre-merge sanity drop: cell not blank (backend 'X-DF'),hold
280,Operator/charterer,,,,"Possible shipowner/charterer mismatch or an under-documented multi-party arrangement (K Line/CMES/CMC as consortium builders/owners with Petronas as the eventual charterer/offtaker, similar in shape to the QatarEnergy TCP pattern seen elsewhere in this batch) - could not confirm either way without the underlying order article (WebSearch budget exhausted). Same shipvault/backend owner tension applies to sister hull row 281.",hold
281,Operator/charterer,,,,Same mismatch as row 280 (sister hull H1897A).,hold
375,Shipowner,,,,"Multiple sources (bairdmaritime 'Owner: SCF Group, Russia'; safety4sea/highnorthnews: 'the contracts ... were signed by SCF Group' for the pilot vessel, vs. 'SMART LNG' for the other 14 sister ships) indicate the pilot ship (hull 041, Alexey Kosygin, row_id 375) was contracted directly by Sovcomflot/SCF, not by the Smart LNG joint venture that owns the other 14 vessels in the series (rows 3,4,5,7-16). Backend currently lists Shipowner as 'Smart LNG' for row 375 - may be worth a human review, though the vessel is still time-chartered to Arctic LNG 2 either way. Not changed (backend edits are out of scope for data-fill).",hold
1207,existing_refs_sample,,,,"One of row 1207/1208's existing refs is a Riviera article titled 'TMS Cardiff Gas linked to pair of VLGC newbuildings at HD Hyundai' - VLGC (gas carrier), not LNG carrier, and a different yard (HD Hyundai, not Samsung Heavy). Article body could not be extracted (nav boilerplate only) so this could not be confirmed as a genuine mismatch vs. a title-only quirk; flagging for human review rather than treating rows 1207/1208 as miscategorized. Not changed.",hold
318,Status/contract,,,,"Flagging because rows 318/319 (both blank on Operator/charterer, Contract date, Price) may need a Status re-check by a human - a terminated-then-speculatively-built LNG carrier duo is an unusual lifecycle worth verifying isn't mismarked elsewhere in the backend (e.g. as still 'on order' to the original defaulted customer). Not changed - Status is out of scope for this data-fill task.",hold
255,Contract date,,,,Two different order-timing sources disagree by roughly 16 months for the same hull; worth a human check before any date is entered.,hold
256,Contract date,,,,Two different order-timing sources disagree by roughly 16 months for the same hull; worth a human check before any date is entered.,hold
1212,existing_refs_sample,,,,Recommend removing the sedaily and Hayfin/Splash247 URLs from rows 1212/1213's ref set - they document a different owner/yard pairing from the same news week and should not be cited as corroboration for these BW LNG rows.,hold
1213,existing_refs_sample,,,,Same recommendation as row 1212.,hold
1212,Price,,,,"Backend Price cell appears to have been corrupted into scientific/float notation (2.54E+08) rather than the plain-integer convention (254000000) used elsewhere. Not in this row's blank_fields so not proposed as a fill, but flagged for a QC/fix-mode pass - looks like a spreadsheet auto-formatting artifact, not a sourced value change.",hold
1213,Price,,,,"Backend Price cell appears to have been corrupted into scientific/float notation (2.54E+08) rather than the plain-integer convention (254000000) used elsewhere. Not in this row's blank_fields so not proposed as a fill, but flagged for a QC/fix-mode pass - looks like a spreadsheet auto-formatting artifact, not a sourced value change.",hold
1218,Price,,,,"The existing Price value 252000000 does not appear to be derivable from the only cited source for this row. It may have been carried over by mistake from the OTHER Samsung cluster row (1227), whose separate, single-vessel LNG Prime article ('south-koreas-samsung-heavy-clinches-another-lng-carrier-order') does state ~$252 million for a DIFFERENT, unrelated single-LNG-carrier order (contract date 08-Jun-2026, not 27-May-2026). Recommend a human check of the Price cell for row 1218 (live row 1118).",hold
290,shipowner,,,,"Possible wrong-owner assignment in the backend, or shipvault's lead data may itself be wrong/stale (shipvault_lead is a lead only, not citable) - either way this is a real conflict between two sources and should be checked by a human before any Operator/charterer fill is made for this row. Not resolved from the sources checked this session.",hold
293,shipowner,,,,"Possible wrong-owner assignment in the backend, or shipvault's lead data may itself be wrong/stale (shipvault_lead is a lead only, not citable) - either way this is a real conflict between two sources and should be checked by a human before any Operator/charterer fill is made for this row. Not resolved from the sources checked this session.",hold
1041,Capacity,,,,pre-merge sanity drop: cell not blank (backend '204000'),hold
1182,Price [ref] (existing),,,,Possible miscitation: TMS Cardiff Gas placed two distinct 2025/2026 orders at two different yards (Samsung and Hudong-Zhonghua) for a similar vessel count; the Samsung-order article may have been attached to the Hudong-Zhonghua rows in error. Did not use this URL for any fill on rows 1182-1185. Worth a human check of which yard/rows this ref is actually paired with in the live sheet.,hold
1183,Price [ref] (existing),,,,See row 1182 note.,hold
1184,Price [ref] (existing),,,,See row 1182 note.,hold
1185,Price [ref] (existing),,,,See row 1182 note.,hold
273,shipvault_lead mismatch,,,,"shipvault_lead for Hull H1889A (IMO 9994319) lists owner as MOL LNG Transport, not matching backend's CNOOC/CMES/NYK JV owner tag. Same anomaly on row 274 / IMO 9994321 (shipvault owner MOL). Possible shipvault data-entry issue or the shipvault record is for a different/wrongly-matched hull. Not used for any proposed value; flagging for a human check against the IMO.",hold
1158,source naming inconsistency (informational only),,,,"Riviera calls the charterer/commercial-manager 'Shandong Ocean Energy' throughout; Seatrade Maritime uses 'Shandong Ocean Energy' for the commercial-management role in one paragraph but 'Shandong Marine Energy' (subsidiary of Shandong Marine Group) in another, describing it as a long-standing Jiangnan partner. The backend's existing value 'Shandong Marine Energy' is directly supported by the Seatrade text, so not changed -- flagging only because the two publishers (and even one publisher internally) are inconsistent, in case this is actually two related-but-distinct entities.",hold
697,Shipowner country/area,,,,,hold
696,Shipowner country/area,,,,,hold
688,Shipowner country/area,,,,,hold
689,Shipowner country/area,,,,,hold
693,Shipowner country/area,,,,,hold
690,Shipowner country/area,,,,,hold
694,Shipowner country/area,,,,,hold
695,Shipowner country/area,,,,,hold
149,Shipowner country/area,,,,,hold
174,Shipowner country/area,,,,,hold
175,Shipowner country/area,,,,,hold
176,Shipowner country/area,,,,,hold
177,Shipowner country/area,,,,,hold
678,Shipowner country/area,,,,,hold
977,Shipowner country/area,,,,,hold
288,Shipowner country/area,,,,,hold
972,Shipowner country/area,,,,,hold
289,Shipowner country/area,,,,,hold
708,Shipowner country/area,,,,,hold
709,Shipowner country/area,,,,,hold
710,Shipowner country/area,,,,,hold
158,Shipowner country/area,,,,,hold
159,Shipowner country/area,,,,,hold
160,Shipowner country/area,,,,,hold
161,Shipowner country/area,,,,,hold
373,Price,,,,,hold
384,Price,,,,,hold
387,Price,,,,,hold
375,Hull number,,,,,hold
666,Hull number,,,,,hold
1156,Price,,,,,hold
1157,Price,,,,,hold
