id,kind,row_id,cluster_id,column,confidence,derivable,default,decision,proposed_value,note
1016|Shipowner country/area,fill,1016,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
1017|Shipowner country/area,fill,1017,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
652|Shipowner country/area,fill,652,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
653|Shipowner country/area,fill,653,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
659|Shipowner country/area,fill,659,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
765|Shipowner country/area,fill,765,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
793|Shipowner country/area,fill,793,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
867|Shipowner country/area,fill,867,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
1018|Shipowner country/area,fill,1018,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
1019|Shipowner country/area,fill,1019,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
1022|Shipowner country/area,fill,1022,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
1031|Shipowner country/area,fill,1031,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
658|Shipowner country/area,fill,658,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
690|Shipowner country/area,fill,690,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
761|Shipowner country/area,fill,761,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
1023|Shipowner country/area,fill,1023,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
1069|Shipowner country/area,fill,1069,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
1075|Shipowner country/area,fill,1075,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
411|Shipowner country/area,fill,411,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
506|Shipowner country/area,fill,506,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
558|Shipowner country/area,fill,558,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
783|Shipowner country/area,fill,783,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
944|Shipowner country/area,fill,944,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
1020|Shipowner country/area,fill,1020,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
1021|Shipowner country/area,fill,1021,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
1065|Shipowner country/area,fill,1065,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
1066|Shipowner country/area,fill,1066,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
374|Shipowner country/area,fill,374,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
627|Shipowner country/area,fill,627,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
630|Shipowner country/area,fill,630,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
868|Shipowner country/area,fill,868,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
987|Shipowner country/area,fill,987,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
1032|Shipowner country/area,fill,1032,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
1067|Shipowner country/area,fill,1067,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
1068|Shipowner country/area,fill,1068,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
1093|Shipowner country/area,fill,1093,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
564|Shipowner country/area,fill,564,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
625|Shipowner country/area,fill,625,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
628|Shipowner country/area,fill,628,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
655|Shipowner country/area,fill,655,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
504|Shipowner country/area,fill,504,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
725|Shipowner country/area,fill,725,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
942|Shipowner country/area,fill,942,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
947|Shipowner country/area,fill,947,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
1013|Shipowner country/area,fill,1013,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
1055|Shipowner country/area,fill,1055,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
1138|Shipowner country/area,fill,1138,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
615|Shipowner country/area,fill,615,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
618|Shipowner country/area,fill,618,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
620|Shipowner country/area,fill,620,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
621|Shipowner country/area,fill,621,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
742|Shipowner country/area,fill,742,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
988|Shipowner country/area,fill,988,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
694|Shipowner country/area,fill,694,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
695|Shipowner country/area,fill,695,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
526|Shipowner country/area,fill,526,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
527|Shipowner country/area,fill,527,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
616|Shipowner country/area,fill,616,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
622|Shipowner country/area,fill,622,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
623|Shipowner country/area,fill,623,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
803|Shipowner country/area,fill,803,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
945|Shipowner country/area,fill,945,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
323|Shipowner country/area,fill,323,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
430|Shipowner country/area,fill,430,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
528|Shipowner country/area,fill,528,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
563|Shipowner country/area,fill,563,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
619|Shipowner country/area,fill,619,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
634|Shipowner country/area,fill,634,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
852|Shipowner country/area,fill,852,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
964|Shipowner country/area,fill,964,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'sk shipping'
965|Shipowner country/area,fill,965,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'sk shipping'
986|Shipowner country/area,fill,986,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
381|Shipowner country/area,fill,381,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
395|Shipowner country/area,fill,395,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
418|Shipowner country/area,fill,418,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
463|Shipowner country/area,fill,463,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
525|Shipowner country/area,fill,525,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
532|Shipowner country/area,fill,532,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
617|Shipowner country/area,fill,617,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
633|Shipowner country/area,fill,633,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
636|Shipowner country/area,fill,636,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
638|Shipowner country/area,fill,638,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
743|Shipowner country/area,fill,743,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
955|Shipowner country/area,fill,955,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
982|Shipowner country/area,fill,982,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
1084|Shipowner country/area,fill,1084,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
1102|Shipowner country/area,fill,1102,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
322|Shipowner country/area,fill,322,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
393|Shipowner country/area,fill,393,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
394|Shipowner country/area,fill,394,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
406|Shipowner country/area,fill,406,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
409|Shipowner country/area,fill,409,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
460|Shipowner country/area,fill,460,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
461|Shipowner country/area,fill,461,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
462|Shipowner country/area,fill,462,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
492|Shipowner country/area,fill,492,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
524|Shipowner country/area,fill,524,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
529|Shipowner country/area,fill,529,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
614|Shipowner country/area,fill,614,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
635|Shipowner country/area,fill,635,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
637|Shipowner country/area,fill,637,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
656|Shipowner country/area,fill,656,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
771|Shipowner country/area,fill,771,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
772|Shipowner country/area,fill,772,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
773|Shipowner country/area,fill,773,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
808|Shipowner country/area,fill,808,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
809|Shipowner country/area,fill,809,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
810|Shipowner country/area,fill,810,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
966|Shipowner country/area,fill,966,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'sk shipping'
985|Shipowner country/area,fill,985,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
376|Shipowner country/area,fill,376,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
539|Shipowner country/area,fill,539,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
657|Shipowner country/area,fill,657,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
687|Shipowner country/area,fill,687,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
816|Shipowner country/area,fill,816,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
967|Shipowner country/area,fill,967,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'sk shipping'
992|Shipowner country/area,fill,992,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
1036|Shipowner country/area,fill,1036,,Shipowner country/area,G,True,accept,accept,China,from data/shipowner_facts.csv for owner 'cosco'
382|Shipowner country/area,fill,382,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
407|Shipowner country/area,fill,407,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
464|Shipowner country/area,fill,464,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
465|Shipowner country/area,fill,465,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
543|Shipowner country/area,fill,543,,Shipowner country/area,G,True,accept,accept,China,from data/shipowner_facts.csv for owner 'cosco'
592|Shipowner country/area,fill,592,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
594|Shipowner country/area,fill,594,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
651|Shipowner country/area,fill,651,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
661|Shipowner country/area,fill,661,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
741|Shipowner country/area,fill,741,,Shipowner country/area,G,True,accept,accept,China,from data/shipowner_facts.csv for owner 'cosco'
750|Shipowner country/area,fill,750,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
953|Shipowner country/area,fill,953,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
990|Shipowner country/area,fill,990,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
1029|Shipowner country/area,fill,1029,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
1030|Shipowner country/area,fill,1030,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
70|Shipowner country/area,fill,70,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
77|Shipowner country/area,fill,77,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
79|Shipowner country/area,fill,79,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
101|Shipowner country/area,fill,101,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
108|Shipowner country/area,fill,108,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
149|Shipowner country/area,fill,149,,Shipowner country/area,G,True,accept,accept,United Arab Emirates,from data/shipowner_facts.csv for owner 'adnoc'
174|Shipowner country/area,fill,174,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
175|Shipowner country/area,fill,175,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
176|Shipowner country/area,fill,176,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
177|Shipowner country/area,fill,177,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
179|Shipowner country/area,fill,179,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
225|Shipowner country/area,fill,225,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
229|Shipowner country/area,fill,229,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'sk shipping'
325|Shipowner country/area,fill,325,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
385|Shipowner country/area,fill,385,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
410|Shipowner country/area,fill,410,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'capital'
466|Shipowner country/area,fill,466,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
540|Shipowner country/area,fill,540,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
678|Shipowner country/area,fill,678,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
702|Shipowner country/area,fill,702,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
859|Shipowner country/area,fill,859,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
977|Shipowner country/area,fill,977,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
93|Shipowner country/area,fill,93,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
95|Shipowner country/area,fill,95,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
105|Shipowner country/area,fill,105,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
121|Shipowner country/area,fill,121,,Shipowner country/area,G,True,accept,accept,Denmark,from data/shipowner_facts.csv for owner 'celsius'
180|Shipowner country/area,fill,180,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'sk shipping'
182|Shipowner country/area,fill,182,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
183|Shipowner country/area,fill,183,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
226|Shipowner country/area,fill,226,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
230|Shipowner country/area,fill,230,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
261|Shipowner country/area,fill,261,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
262|Shipowner country/area,fill,262,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
276|Shipowner country/area,fill,276,,Shipowner country/area,G,True,accept,accept,China,from data/shipowner_facts.csv for owner 'cosco'
277|Shipowner country/area,fill,277,,Shipowner country/area,G,True,accept,accept,China,from data/shipowner_facts.csv for owner 'cosco'
288|Shipowner country/area,fill,288,,Shipowner country/area,G,True,accept,accept,Hong Kong,from data/shipowner_facts.csv for owner 'united liquefied gas'
701|Shipowner country/area,fill,701,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
849|Shipowner country/area,fill,849,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
864|Shipowner country/area,fill,864,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
972|Shipowner country/area,fill,972,,Shipowner country/area,G,True,accept,accept,South Korea,from data/shipowner_facts.csv for owner 'hyundai lng shipping'
1107|Shipowner country/area,fill,1107,,Shipowner country/area,G,True,accept,accept,Norway,from data/shipowner_facts.csv for owner 'knutsen'
1111|Shipowner country/area,fill,1111,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
1132|Shipowner country/area,fill,1132,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'gaslog'
30|Shipowner country/area,fill,30,,Shipowner country/area,G,True,accept,accept,Japan,from data/shipowner_facts.csv for owner 'nyk'
63|Shipowner country/area,fill,63,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
64|Shipowner country/area,fill,64,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
65|Shipowner country/area,fill,65,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
66|Shipowner country/area,fill,66,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
109|Shipowner country/area,fill,109,,Shipowner country/area,G,True,accept,accept,Greece,from data/shipowner_facts.csv for owner 'tms-cardiff'
137|Shipowner country/area,fill,137,,Shipowner country/area,G,True,accept,accept,Malaysia,from data/shipowner_facts.csv for owner 'misc'
